name,href,time,price,bedroom,location,longitudes,lattitudes
"2 Bedrooms, Townhouse in Vancouver Cambie, VGH, near UBC & Downtown",https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-townhouse-in/7506126895.html,2022-07-07 20:19:00,3200,2,location not found,0.0,0.0
3 bedrooms basement near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-basement-near-ubc/7500057816.html,2022-07-07 19:56:00,3300,3,location not found,0.0,0.0
UPSTAIRS UNIT FAMILY HOME CLOSE TO UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-upstairs-unit-family-home/7506103088.html,2022-07-07 18:41:00,3600,3,location not found,0.0,0.0
3 BED UPSTAIRS HOME CLOSE TO UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-upstairs-home-close-to-ubc/7506102960.html,2022-07-07 18:40:00,3600,2,location not found,0.0,0.0
"One bedroom-Dunbar,Lord Byng, UBC, Point Grey",https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-dunbarlord-byng/7506094541.html,2022-07-07 18:10:00,2150,1,Carnarvon St near 21st,-100.445882,39.78373
Bright & Spacious 1 Bedroom - Point Grey Manor (Close to UBC Campus!),https://vancouver.craigslist.org/van/apa/d/vancouver-bright-spacious-bedroom-point/7506037667.html,2022-07-07 15:28:00,2300,1,Broadway near Collingwood,-100.445882,39.78373
High End Furnished 2BR+Den Condo in UBC Wesbrook Village (AR115),https://vancouver.craigslist.org/van/apa/d/vancouver-high-end-furnished-2brden/7505071565.html,2022-07-07 13:00:00,3950,2,location not found,0.0,0.0
2 Bedroom Basement suite - on UBC bus line,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-basement-suite-on-ubc/7505921869.html,2022-07-07 11:24:00,2000,2,33rd E near Commercial,-100.445882,39.78373
"☎☎  Newly Renovated Big house, Front/Back yard, Garage UBC Campus ★",https://vancouver.craigslist.org/van/apa/d/vancouver-newly-renovated-big-house/7505891636.html,2022-07-07 10:27:00,6800,6,Knox Rd near University Blvd,-100.445882,39.78373
The Laureates 801 - UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-the-laureates-ubc/7505882654.html,2022-07-07 10:11:00,4550,3,5628 Birney Avenue,-123.232941,49.254344
UBC-Wesbrook-ETON 14F - 3 Beds 2 Baths Beautiful View Unit Avail. SEP,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-wesbrook-eton-14f-beds/7505728839.html,2022-07-07 01:30:00,4200,3,location not found,0.0,0.0
Furnished apt near UBC to Apr 30/23 - all inclusive rent inc. cleaning,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-apt-near-ubc-to-apr/7505724029.html,2022-07-07 00:10:00,3250,1,West 10th Avenue near Discovery,-100.445882,39.78373
UBC Campus 2 bedrooms 2 baths Apartment for Rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-campus-bedrooms-baths/7504747907.html,2022-07-06 20:28:00,3400,2,5740 Toronto Road near Allison Road,-100.445882,39.78373
Available mid-August: 1 bedroom unit on Kings road (inside UBC),https://vancouver.craigslist.org/van/apa/d/vancouver-available-mid-august-bedroom/7504779327.html,2022-07-06 20:17:00,1900,1,5632 kings rd,-123.32916,48.437847
IDEAL FOR UBC STUDENTS - FURNISHED 2 BEDROOM & DEN,https://vancouver.craigslist.org/van/apa/d/vancouver-ideal-for-ubc-students/7505683580.html,2022-07-06 19:20:00,3400,2,Macdonald Street near 5th Avenue,-100.445882,39.78373
Kitsilano - 1 block Kits Beach - Clean - Laundry - Central - Quiet-UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-block-kits-beach/7505619548.html,2022-07-06 16:02:00,1900,1,york avenue near balsam,-100.445882,39.78373
Furnished 3bedrooms close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-3bedrooms-close-to/7505612786.html,2022-07-06 15:45:00,4200,3,W15 near Wallace st,-100.445882,39.78373
$ 1500 / 1 br -approx 700 sq ft one bath near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-br-approx-700-sq-ft-one-bath/7505587284.html,2022-07-06 14:43:00,1500,1,location not found,0.0,0.0
3 bdrm furnished garden level suite in Vancouver near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bdrm-furnished-garden-level/7505578009.html,2022-07-06 14:25:00,3750,3,12th Avenue West near Balaclava,-100.445882,39.78373
UBC Campus - Air Conditioned Bedroom,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-campus-air-conditioned/7505551697.html,2022-07-06 13:27:00,1650,1,3462 Ross Drive,-123.23916,49.252189
2 Bedroom Bright & Spacious Suite - UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bright-spacious-suite/7505488417.html,2022-07-06 11:26:00,4300,2,6005 Walter Gage Road,-123.250457,49.270258
UBC CONDO - 2 BED 2 BATH W/ FIREPLACE & BALCONY @GLENLLOYD PARK,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-condo-bed-bath-fireplace/7494183935.html,2022-07-06 11:17:00,3950,2,5725 Agronomy Road,-123.255258,49.259707
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7498100157.html,2022-07-06 11:11:00,9,2,location not found,0.0,0.0
"UBC Spacious 2-Bed, 2-Bath Condo for Rent!",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-spacious-bed-bath-condo/7505458733.html,2022-07-06 10:32:00,3600,2,location not found,0.0,0.0
Two bedroom one bath near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-two-bedroom-one-bath-near-ubc/7503588322.html,2022-07-06 09:37:00,2495,2,vine near 41st w,-100.445882,39.78373
☆☆☆UBC Ocean View 1br+den Condo with A/C available Aug 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-ocean-view-1brden-condo/7503579395.html,2022-07-06 09:32:00,3000,1,5728 Berton Ave,-123.23704,49.254506
UBC area - Sea view house,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-area-sea-view-house/7499846961.html,2022-07-06 09:22:00,15000,6,location not found,0.0,0.0
Kitsilano-Character-Private-BIG BALCONY-Wood floors-UBC-clean-BRIGHT,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-character-private/7505365635.html,2022-07-06 07:43:00,3500,1,west 7th avenue near balsam,-100.445882,39.78373
"""Cambie Village"" - character - Laundry-Bright - UBC - TOP FLOOR",https://vancouver.craigslist.org/van/apa/d/vancouver-cambie-village-character/7505365346.html,2022-07-06 07:42:00,2950,1,20th avenue near cambie,-100.445882,39.78373
"2 Bed, 2 Bath Apt/Condo for Rent at Westbrooks Mall  UBC",https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-apt-condo-for-rent/7502539860.html,2022-07-05 23:40:00,3700,2,3563 Ross drive,-123.23916,49.252189
UBC Ponderosa Studio Sublet September 2022 to December 2022,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-ponderosa-studio-sublet/7501144268.html,2022-07-05 23:10:00,2500,1,location not found,0.0,0.0
Brand New Main Floor of House/10 mins from UBC/Avail Aug 1,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-main-floor-of-house/7500706545.html,2022-07-05 22:15:00,5195,3,location not found,0.0,0.0
Interlink Realty- Upper 1 bedroom 1bath sea view close UBC Ref:4328P,https://vancouver.craigslist.org/van/apa/d/vancouver-interlink-realty-upper/7495475688.html,2022-07-05 19:13:00,2000,1,W Point Pl,-123.204503,49.268415
R2- 2Bdr two level unit- one bus to UBC-September- May2023,https://vancouver.craigslist.org/van/apa/d/vancouver-r2-2bdr-two-level-unit-one/7500260941.html,2022-07-05 19:00:00,3400,2,location not found,0.0,0.0
R5- 1 BDR Two level furnished unit- one bus to UBC-Sept- May 2023,https://vancouver.craigslist.org/van/apa/d/vancouver-r5-bdr-two-level-furnished/7502429563.html,2022-07-05 19:00:00,2500,1,location not found,0.0,0.0
R3- 3BDR Furnished unit- one bus to UBC- Sept- May 2023,https://vancouver.craigslist.org/van/apa/d/vancouver-r3-3bdr-furnished-unit-one/7501579132.html,2022-07-05 19:00:00,4750,3,location not found,0.0,0.0
"UBC campus low-rise 2 bedrooms, 2 bathrooms apartment,A/C",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-campus-low-rise-bedrooms/7500877024.html,2022-07-05 16:23:00,4500,2,5638 Birney Avenue,-123.232941,49.254344
Rare Rental Property in UBC/Point Grey/ Lord Byng/ Van West,https://vancouver.craigslist.org/van/apa/d/vancouver-rare-rental-property-in-ubc/7499593983.html,2022-07-05 16:23:00,12500,5,4754 West 2nd Avenue,-123.116555,49.265976
Furnished 2 Bed 2 Bath Apartment at UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bed-bath-apartment/7505123032.html,2022-07-05 14:06:00,3300,2,5983 Gray Ave,-123.235142,49.252201
Near UBC 2 BR house,https://vancouver.craigslist.org/van/apa/d/vancouver-near-ubc-br-house/7505057164.html,2022-07-05 12:01:00,3900,2,location not found,0.0,0.0
Kerrisdale Spacious 6 Bedroom House Near UBC - Vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-kerrisdale-spacious-bedroom/7505049327.html,2022-07-05 11:47:00,5850,6,3890 W29th Ave,-100.445882,39.78373
